Visitor,PTS,Home,PTS
BRK,104,MIL,127
GSW,121,LAL,114
IND,122,CHO,123
CHI,94,DET,88
BOS,134,NYK,138
WAS,98,TOR,83
CLE,121,MEM,132
HOU,106,MIN,124
PHI,117,NOP,97
ORL,97,SAS,123
OKC,86,UTA,107
SAC,124,PHO,121
DEN,110,PHO,98
DAL,87,ATL,113
MIL,95,MIA,137
LAC,113,GSW,115
NYK,121,ORL,96
IND,134,WAS,135
CHO,123,CLE,112
TOR,115,BOS,83
BRK,114,PHI,109
OKC,91,HOU,124
NOP,112,CHI,128
SAS,96,DEN,102
PHO,115,LAL,105
UTA,110,SAC,101
ATL,95,CLE,101
MIA,91,IND,102
DAL,103,TOR,95
DET,82,CHI,97
NOP,89,MIN,96
MIL,121,SAS,111
PHO,105,PHO,134
MEM,120,LAC,114
CHO,111,BRK,95
BOS,107,HOU,97
ORL,110,NYK,104
PHI,115,OKC,103
GSW,119,SAC,107
MEM,118,LAL,121
BOS,140,CHO,129
MIL,119,IND,109
CHI,111,TOR,108
ORL,90,MIA,107
WAS,90,BRK,104
DET,104,ATL,122
NOP,107,MIN,98
CLE,99,DEN,87
PHO,86,LAC,116
PHI,99,NYK,112
GSW,106,OKC,98
LAL,125,SAS,121
HOU,106,DAL,116
DEN,110,UTA,122
CHO,120,ORL,111
WAS,116,BOS,107
MIA,106,BRK,93
IND,100,TOR,118
ATL,102,NOP,99
MIN,113,MIL,108
LAL,115,OKC,123
SAC,110,PHO,107
MEM,96,PHO,116
CLE,92,LAC,79
ATL,111,WAS,122
DET,102,PHI,110
UTA,122,HOU,91
NYK,104,CHI,103
SAS,99,DAL,104
MEM,104,GSW,101
ORL,109,TOR,110
CHO,99,MIA,114
IND,98,BRK,105
SAC,113,NOP,109
DAL,75,DEN,106
LAC,92,PHO,111
CLE,101,LAL,113
BOS,112,WAS,115
ORL,103,DET,110
NYK,123,NOP,117
TOR,97,IND,94
ATL,94,PHI,122
UTA,99,CHI,107
MIA,129,MEM,103
SAS,102,MIL,93
OKC,82,GSW,103
DEN,93,MIN,91
CLE,92,PHO,101
SAC,99,DAL,105
PHO,113,CHO,125
UTA,107,MIL,95
DET,91,BRK,117
HOU,85,LAL,95
CLE,113,CHO,110
SAS,118,IND,131
PHO,103,PHI,113
WAS,111,ATL,118
CHI,128,BOS,114
TOR,113,NYK,104
DEN,97,MEM,106
ORL,115,MIN,97
OKC,94,LAC,99
MIL,117,DET,89
MIA,125,DAL,110
SAC,113,UTA,119
NOP,100,PHO,112
HOU,117,LAL,119
PHO,104,CLE,107
NYK,98,IND,111
BOS,92,ORL,79
CHI,98,PHI,103
TOR,109,WAS,100
ATL,108,BRK,117
DEN,106,MEM,108
LAC,126,MIN,115
DAL,109,SAS,108
CHO,92,GSW,114
NOP,99,SAC,112
PHI,109,DET,98
UTA,116,ATL,98
BOS,95,MIA,78
HOU,111,PHO,123
OKC,107,LAL,104
BRK,96,DET,90
SAS,102,ORL,89
MEM,87,WAS,115
NYK,113,MIL,98
CLE,102,TOR,101
LAC,104,MIN,84
NOP,85,GSW,126
IND,106,PHO,110
CHO,110,SAC,140
HOU,94,DEN,95
UTA,115,MIA,118
PHI,114,CHI,105
BOS,104,DAL,107
ATL,117,PHO,121
LAL,90,PHO,105
BRK,116,TOR,103
CLE,126,NYK,109
UTA,100,ORL,107
IND,94,SAC,91
MIL,94,WAS,101
SAS,94,OKC,99
HOU,107,GSW,120
CHO,106,LAC,120
NYK,103,PHI,96
BRK,95,CHI,118
MIN,118,MEM,125
NOP,92,DAL,108
MIA,96,DEN,113
ATL,113,GSW,127
PHO,109,SAC,104
CHO,123,LAL,126
MIL,118,PHI,109
ATL,98,UTA,110
PHO,109,LAC,117
WAS,97,CLE,94
BRK,123,ORL,90
TOR,88,BOS,104
DET,112,HOU,104
MIL,112,NYK,100
DAL,107,CHI,117
CHO,118,MEM,108
OKC,108,NOP,100
SAC,117,SAS,136
IND,98,DEN,101
PHO,109,PHO,119
MIN,110,GSW,123
MIA,117,LAL,120
TOR,115,PHI,109
IND,111,UTA,100
MIA,109,LAC,112
NYK,96,CHO,104
MIL,113,BOS,122
DET,78,CLE,98
PHO,104,HOU,92
PHO,119,MEM,94
BRK,120,NOP,112
SAC,103,OKC,105
DAL,123,SAS,109
ATL,96,DEN,105
CHI,93,GSW,119
MIN,107,LAL,83
MIA,111,UTA,105
PHI,113,IND,118
MEM,101,NOP,112
WAS,104,ORL,92
DET,127,TOR,121
BOS,89,CLE,91
MIN,102,LAC,129
SAS,106,LAL,114
MIL,100,ATL,120
GSW,102,CHO,106
PHO,115,HOU,89
BRK,120,OKC,96
PHO,95,DEN,124
CHI,100,LAC,90
BOS,98,CLE,92
SAC,129,DET,107
NOP,100,WAS,105
ORL,111,ATL,129
IND,84,NYK,92
DEN,101,DAL,111
HOU,102,MEM,136
PHO,99,MIN,96
MIA,103,OKC,90
TOR,113,PHO,118
CHI,121,LAL,103
GSW,117,BRK,99
PHI,85,UTA,120
SAS,92,LAC,106
WAS,87,CHO,97
IND,89,DET,97
BOS,99,ATL,110
CLE,99,BRK,109
NOP,98,MIA,113
LAL,102,MIL,109
ORL,104,NYK,98
SAC,97,MIN,107
HOU,89,OKC,101
DAL,98,PHO,105
CHI,107,PHO,112
GSW,104,CLE,89
WAS,97,MIA,112
LAC,108,MEM,120
SAS,90,MIN,115
PHI,103,DEN,89
TOR,103,UTA,119
IND,118,CHO,121
GSW,105,DET,102
LAL,108,BOS,130
ORL,113,BRK,115
OKC,89,MIL,96
LAC,81,NOP,94
CHI,114,DEN,108
DAL,104,PHO,112
TOR,108,SAC,89
HOU,99,NYK,106
