


 
Player,Pos,Tm,TS%,USG%,OBPM,DBPM,BPM,Player-additional
Steven Adams,C,MEM,.559,14.1,-0.4,1.0,0.6,adamsst01
Bam Adebayo,C,MIA,.584,26.5,0.5,0.6,1.2,adebaba01
Santi Aldama,PF,MEM,.602,15.3,0.2,1.5,1.7,aldamsa01
Grayson Allen,SG,MIL,.604,15.1,-0.2,0.6,0.3,allengr01
Jarrett Allen,C,CLE,.660,16.1,1.2,1.3,2.5,allenja01
Jose Alvarado,PG,NOP,.524,19.8,-1.8,1.1,-0.7,alvarjo01
Kyle Anderson,PF,MIN,.582,13.5,-0.6,2.0,1.4,anderky01
Giannis Antetokounmpo,PF,MIL,.584,38.1,4.8,2.3,7.1,antetgi01
OG Anunoby,SF,TOR,.567,20.9,-0.5,0.7,0.2,anunoog01
Deni Avdija,SF,WAS,.524,15.6,-3.2,0.7,-2.5,avdijde01
Deandre Ayton,C,PHO,.611,23.5,1.1,-0.4,0.6,aytonde01
Paolo Banchero,PF,ORL,.550,28.0,0.3,-0.7,-0.4,banchpa01
Harrison Barnes,PF,SAC,.640,17.3,0.8,-0.9,-0.1,barneha02
Scottie Barnes,PF,TOR,.525,20.9,0.9,-0.4,0.5,barnesc01
RJ Barrett,SG,NYK,.533,26.0,-0.6,-1.5,-2.1,barrerj01
Nicolas Batum,PF,LAC,.578,12.1,-1.4,2.0,0.6,batumni01
Bradley Beal,SG,WAS,.617,27.5,3.9,-0.9,3.0,bealbr01
Malik Beasley,SG,UTA,.535,21.6,0.0,-1.2,-1.2,beaslma01
Patrick Beverley,PG,LAL,.537,10.5,-3.3,1.1,-2.2,beverpa01
Saddiq Bey,SF,DET,.548,20.8,-0.1,-1.3,-1.4,beysa01
Bojan Bogdanović,PF,DET,.629,25.7,3.0,-1.8,1.2,bogdabo02
Bol Bol,PF,ORL,.643,18.7,-0.3,0.6,0.3,bolbo01
Devin Booker,SG,PHO,.585,31.7,4.6,-0.7,3.9,bookede01
Mikal Bridges,SF,PHO,.571,17.9,0.4,0.4,0.8,bridgmi01
Malcolm Brogdon,PG,BOS,.626,23.4,3.2,0.0,3.2,brogdma01
Dillon Brooks,SF,MEM,.501,24.3,-2.8,-0.6,-3.4,brookdi01
Bruce Brown,SG,DEN,.589,16.5,-0.3,0.6,0.3,brownbr01
Jaylen Brown,SF,BOS,.595,31.7,2.1,-0.5,1.6,brownja02
Troy Brown Jr.,SF,LAL,.562,12.2,-2.5,0.3,-2.3,browntr01
Jalen Brunson,PG,NYK,.574,26.9,3.7,-0.3,3.3,brunsja01
Reggie Bullock,SF,DAL,.518,9.4,-3.1,-0.3,-3.4,bullore01
Jimmy Butler,SF,MIA,.620,25.0,5.4,2.3,7.7,butleji01
Kentavious Caldwell-Pope,SG,DEN,.624,14.5,-0.7,-0.1,-0.9,caldwke01
Jevon Carter,PG,MIL,.519,14.4,-2.9,1.8,-1.1,carteje01
Alex Caruso,PG,CHI,.568,11.2,-2.2,3.1,0.9,carusal01
Jordan Clarkson,SG,UTA,.569,27.5,1.8,-2.3,-0.5,clarkjo01
Nic Claxton,C,BRK,.705,15.3,0.7,2.0,2.7,claxtni01
John Collins,PF,ATL,.574,17.3,-2.0,0.8,-1.2,collijo01
Mike Conley,PG,UTA,.527,16.2,0.2,-0.8,-0.5,conlemi01
Torrey Craig,SF,PHO,.586,13.6,-0.2,0.2,0.0,craigto01
Stephen Curry,PG,GSW,.657,31.2,7.7,0.3,8.0,curryst01
Anthony Davis,C,LAL,.662,28.6,6.4,2.2,8.6,davisan02
DeMar DeRozan,SF,CHI,.596,29.0,2.3,-0.2,2.2,derozde01
Spencer Dinwiddie,PG,DAL,.608,20.6,1.9,-1.2,0.7,dinwisp01
Donte DiVincenzo,SG,GSW,.554,14.7,-1.7,1.6,-0.1,divindo01
Luka Dončić,PG,DAL,.608,38.2,8.3,2.0,10.3,doncilu01
Luguentz Dort,SG,OKC,.529,20.3,-1.9,-0.8,-2.7,dortlu01
Ayo Dosunmu,SG,CHI,.579,15.1,-2.5,-0.1,-2.6,dosunay01
Kevin Durant,PF,BRK,.673,31.7,5.9,1.1,7.0,duranke01
Jalen Duren,C,DET,.636,12.5,-0.7,-0.8,-1.5,durenja01
Tari Eason,PF,HOU,.525,18.9,-0.9,0.3,-0.7,easonta01
Anthony Edwards,SG,MIN,.565,28.6,0.8,-0.2,0.5,edwaran01
Joel Embiid,C,PHI,.643,37.7,6.2,2.4,8.6,embiijo01
Dorian Finney-Smith,PF,DAL,.535,12.6,-1.5,-0.3,-1.8,finnedo01
De'Aaron Fox,PG,SAC,.595,29.1,2.7,-1.0,1.7,foxde01
Darius Garland,PG,CLE,.575,27.1,2.9,-0.8,2.1,garlada01
Paul George,SF,LAC,.588,30.4,2.7,0.9,3.5,georgpa01
Josh Giddey,SG,OKC,.536,24.1,0.9,-0.5,0.4,giddejo01
Shai Gilgeous-Alexander,PG,OKC,.621,32.5,5.5,1.4,6.9,gilgesh01
Rudy Gobert,C,MIN,.697,15.8,0.2,0.2,0.4,goberru01
Aaron Gordon,PF,DEN,.652,21.0,3.0,-0.5,2.5,gordoaa01
Eric Gordon,SG,HOU,.565,17.2,-1.0,-1.9,-2.9,gordoer01
Jerami Grant,PF,POR,.623,23.5,2.5,-0.7,1.8,grantje01
Draymond Green,PF,GSW,.578,12.4,-1.8,2.3,0.5,greendr01
Jalen Green,SG,HOU,.528,27.9,-0.3,-2.5,-2.8,greenja05
AJ Griffin,SF,ATL,.587,18.7,0.0,0.1,0.1,griffaj01
Quentin Grimes,SG,NYK,.599,14.1,-0.9,0.9,0.0,grimequ01
Tyrese Haliburton,PG,IND,.613,23.9,6.7,0.6,7.3,halibty01
Tim Hardaway Jr.,SG,DAL,.539,21.5,-0.8,-1.6,-2.4,hardati02
James Harden,PG,PHI,.613,25.9,5.3,0.7,6.0,hardeja01
Joe Harris,SG,BRK,.569,14.3,-2.1,-0.4,-2.5,harrijo01
Tobias Harris,PF,PHI,.593,19.6,0.8,0.1,0.9,harrito02
Josh Hart,SF,POR,.588,12.5,-0.8,1.1,0.3,hartjo01
Isaiah Hartenstein,C,NYK,.540,12.5,-1.8,0.3,-1.5,harteis01
Killian Hayes,PG,DET,.475,19.7,-2.2,-0.5,-2.7,hayeski01
Tyler Herro,SG,MIA,.578,25.7,2.3,-0.1,2.1,herroty01
Buddy Hield,SF,IND,.604,21.7,2.5,-0.8,1.8,hieldbu01
Jrue Holiday,PG,MIL,.573,25.4,2.7,0.2,3.0,holidjr01
Al Horford,C,BOS,.631,11.5,1.5,1.3,2.8,horfoal01
Kevin Huerter,SG,SAC,.620,19.4,0.8,-0.3,0.5,huertke01
De'Andre Hunter,SF,ATL,.566,20.0,-1.9,-1.3,-3.2,huntede01
Kyrie Irving,PG,BRK,.593,29.1,3.6,-1.2,2.4,irvinky01
Jaden Ivey,SG,DET,.514,24.6,-1.9,-1.6,-3.5,iveyja01
Reggie Jackson,PG,LAC,.516,20.4,-3.0,-0.8,-3.8,jacksre01
LeBron James,PF,LAL,.587,33.2,5.6,0.4,6.0,jamesle01
Keldon Johnson,SF,SAS,.534,28.4,0.1,-3.1,-3.0,johnske04
Nikola Jokić,C,DEN,.691,27.7,8.4,4.1,12.5,jokicni01
Herbert Jones,SF,NOP,.537,15.7,-2.3,1.7,-0.6,joneshe01
Tre Jones,PG,SAS,.532,20.5,-0.1,-1.0,-1.2,jonestr01
Tyus Jones,PG,MEM,.556,18.4,1.8,0.4,2.2,jonesty01
Walker Kessler,C,UTA,.704,12.8,1.0,1.4,2.5,kesslwa01
Corey Kispert,SF,WAS,.633,12.9,-1.2,-0.7,-1.9,kispeco01
John Konchar,SG,MEM,.574,11.0,-1.0,2.2,1.2,konchjo01
Kyle Kuzma,PF,WAS,.550,27.9,0.4,-1.4,-1.0,kuzmaky01
Zach LaVine,SG,CHI,.589,27.9,2.4,-1.2,1.2,lavinza01
Damion Lee,SG,PHO,.645,15.5,0.1,-0.7,-0.6,leeda03
Caris LeVert,SG,CLE,.518,19.5,-2.2,0.4,-1.7,leverca01
Damian Lillard,PG,POR,.620,32.2,6.9,-1.2,5.6,lillada01
Kevon Looney,C,GSW,.648,10.1,0.6,1.2,1.8,looneke01
Brook Lopez,C,MIL,.616,18.2,0.8,1.3,2.1,lopezbr01
Kyle Lowry,PG,MIA,.558,17.4,-0.7,0.9,0.2,lowryky01
Terance Mann,SG,LAC,.612,15.8,-0.4,0.8,0.4,mannte01
Lauri Markkanen,SF,UTA,.663,25.0,5.1,-0.9,4.2,markkla01
Naji Marshall,SF,NOP,.557,18.0,-0.9,0.0,-0.8,marshna01
Caleb Martin,PF,MIA,.565,14.4,-1.5,0.4,-1.1,martica02
Kenyon Martin Jr.,SF,HOU,.621,16.9,0.2,-1.3,-1.1,martike04
Bennedict Mathurin,SF,IND,.557,25.8,-1.1,-2.4,-3.5,mathube01
Tyrese Maxey,SG,PHI,.561,26.2,0.4,-1.5,-1.1,maxeyty01
CJ McCollum,SG,NOP,.540,26.8,2.3,-0.6,1.7,mccolcj01
Jaden McDaniels,PF,MIN,.613,15.2,-1.4,0.6,-0.8,mcdanja02
Jalen McDaniels,SF,CHO,.575,17.3,-1.8,0.3,-1.5,mcdanja01
De'Anthony Melton,PG,PHI,.548,17.6,-0.7,1.9,1.2,meltode01
Shake Milton,SG,PHI,.596,19.1,-0.7,-0.7,-1.5,miltosh01
Davion Mitchell,PG,SAC,.555,14.5,-2.2,-0.2,-2.5,mitchda01
Donovan Mitchell,SG,CLE,.623,31.8,5.8,0.7,6.5,mitchdo01
Evan Mobley,PF,CLE,.595,18.6,-0.4,1.8,1.4,mobleev01
Malik Monk,SG,SAC,.568,26.4,1.2,-1.6,-0.4,monkma01
Ja Morant,PG,MEM,.562,35.6,5.9,0.5,6.4,moranja01
Marcus Morris,PF,LAC,.557,19.0,-0.9,0.4,-0.5,morrima03
Monte Morris,PG,WAS,.565,15.3,0.2,-0.2,0.0,morrimo01
Trey Murphy III,SF,NOP,.644,15.6,1.3,0.5,1.7,murphtr02
Dejounte Murray,SG,ATL,.531,25.1,0.9,0.5,1.4,murrade01
Jamal Murray,PG,DEN,.554,25.6,1.5,-1.7,-0.2,murraja01
Keegan Murray,SF,SAC,.572,16.7,-0.5,-0.8,-1.3,murrake02
Andrew Nembhard,SG,IND,.548,14.1,-2.5,0.2,-2.3,nembhan01
Aaron Nesmith,SF,IND,.557,16.9,-2.3,0.0,-2.3,nesmiaa01
Georges Niang,PF,PHI,.621,18.2,0.4,-0.8,-0.4,niangge01
Jaylen Nowell,SG,MIN,.519,25.4,-1.0,-1.2,-2.2,nowelja01
Jusuf Nurkić,C,POR,.609,22.3,0.2,1.1,1.3,nurkiju01
Royce O'Neale,SF,BRK,.550,13.0,-1.3,0.6,-0.7,onealro01
Onyeka Okongwu,C,ATL,.648,13.9,-1.1,0.7,-0.4,okongon01
Isaac Okoro,SF,CLE,.570,12.5,-2.9,2.0,-0.9,okorois01
Kelly Olynyk,C,UTA,.647,17.2,-0.7,0.8,0.2,olynyke01
Cedi Osman,SF,CLE,.572,17.8,-1.8,0.5,-1.3,osmande01
Kelly Oubre Jr.,SF,CHO,.515,26.6,-0.5,-1.1,-1.6,oubreke01
Mason Plumlee,C,CHO,.662,15.0,1.4,0.7,2.1,plumlma01
Jakob Poeltl,C,SAS,.637,18.2,1.1,0.2,1.3,poeltja01
Jordan Poole,PG,GSW,.570,30.3,-0.4,-2.3,-2.6,poolejo01
Kevin Porter Jr.,PG,HOU,.551,25.6,0.9,-0.9,-0.1,porteke02
Michael Porter Jr.,SF,DEN,.595,22.2,0.7,-1.7,-1.0,portemi01
Bobby Portis,PF,MIL,.565,21.9,1.5,-0.3,1.2,portibo01
Kristaps Porziņģis,C,WAS,.600,27.3,2.7,0.3,3.0,porzikr01
Norman Powell,SG,LAC,.596,25.5,0.1,0.0,0.0,powelno01
Immanuel Quickley,PG,NYK,.547,19.6,-0.3,0.6,0.4,quickim01
Julius Randle,PF,NYK,.579,28.2,4.0,0.3,4.3,randlju01
Austin Reaves,SG,LAL,.645,14.2,-1.2,-0.2,-1.4,reaveau01
Mitchell Robinson,C,NYK,.664,9.4,1.0,1.7,2.7,robinmi01
Terrence Ross,SG,ORL,.538,16.0,-2.7,-0.5,-3.2,rosste01
Terry Rozier,SG,CHO,.509,26.8,0.5,-2.3,-1.8,roziete01
D'Angelo Russell,PG,MIN,.591,22.4,1.6,-0.9,0.6,russeda01
Domantas Sabonis,C,SAC,.671,20.6,4.4,2.1,6.5,sabondo01
Dennis Schröder,PG,LAL,.565,17.7,-2.8,-1.2,-4.0,schrode01
