Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Brooklyn Nets,104,Milwaukee Bucks,127,,,,,Atlanta Hawks,ATL,,,BKN,104,MIL,127
Golden State Warriors,121,Los Angeles Lakers,114,,,,,Boston Celtics,BOS,,,GSW,121,LAL,114
Indiana Pacers,122,Charlotte Hornets,123,,,,,Brooklyn Nets,BKN,,,IND,122,CHA,123
Chicago Bulls,94,Detroit Pistons,88,,,,,Charlotte Hornets,CHA,,,CHI,94,DET,88
Boston Celtics,134,New York Knicks,138,,,,,Chicago Bulls,CHI,,,BOS,134,NYK,138
Washington Wizards,98,Toronto Raptors,83,,,,,Cleveland Cavaliers,CLE,,,WAS,98,TOR,83
Cleveland Cavaliers,121,Memphis Grizzlies,132,,,,,Dallas Mavericks,DAL,,,CLE,121,MEM,132
Houston Rockets,106,Minnesota Timberwolves,124,,,,,Denver Nuggets,DEN,,,HOU,106,MIN,124
Philadelphia 76ers,117,New Orleans Pelicans,97,,,,,Detroit Pistons,DET,,,PHI,117,NOP,97
Orlando Magic,97,San Antonio Spurs,123,,,,,Golden State Warriors,GSW,,,ORL,97,SAS,123
Oklahoma City Thunder,86,Utah Jazz,107,,,,,Houston Rockets,HOU,,,OKC,86,UTA,107
Sacramento Kings,124,Portland Trail Blazers,121,,,,,Indiana Pacers,IND,,,SAC,124,PHX,121
Denver Nuggets,110,Phoenix Suns,98,,,,,Los Angeles Clippers,LAC,,,DEN,110,PHX,98
Dallas Mavericks,87,Atlanta Hawks,113,,,,,Los Angeles Lakers,LAL,,,DAL,87,ATL,113
Milwaukee Bucks,95,Miami Heat,137,,,,,Memphis Grizzlies,MEM,,,MIL,95,MIA,137
Los Angeles Clippers,113,Golden State Warriors,115,,,,,Miami Heat,MIA,,,LAC,113,GSW,115
New York Knicks,121,Orlando Magic,96,,,,,Milwaukee Bucks,MIL,,,NYK,121,ORL,96
Indiana Pacers,134,Washington Wizards,135,,,,,Minnesota Timberwolves,MIN,,,IND,134,WAS,135
Charlotte Hornets,123,Cleveland Cavaliers,112,,,,,New Orleans Pelicans,NOP,,,CHA,123,CLE,112
